Episode 193     Average Score: -5394.68
Episode 194     Average Score: -5397.63
Episode 195     Average Score: -5358.15
Episode 196     Average Score: -5360.38
Episode 197     Average Score: -5378.67
Episode 198     Average Score: -5387.24
Episode 199     Average Score: -5050.61
Episode 200     Average Score: -302.29
Episode 201     Average Score: -300.22
Episode 202     Average Score: -301.61
Episode 203     Average Score: -2.79
Episode 204     Average Score: 0.49
Episode 205     Average Score: 0.53
Episode 206     Average Score: 6.65
Episode 207     Average Score: 23.71
Episode 208     Average Score: 33.56
Episode 209     Average Score: 32.94
Episode 210     Average Score: 35.36
Episode 211     Average Score: 34.74
Episode 212     Average Score: 36.78
Episode 213     Average Score: 36.39
Episode 214     Average Score: 34.09
Episode 215     Average Score: 34.15
Episode 216     Average Score: 34.78
Episode 217     Average Score: 37.98
Episode 218     Average Score: 36.79
Episode 219     Average Score: 38.97
Episode 220     Average Score: 39.44
Episode 221     Average Score: 39.26
Episode 222     Average Score: 36.96
Episode 223     Average Score: -7495.46
Episode 224     Average Score: -16097.53
Episode 225     Average Score: -22836.10
Episode 226     Average Score: -22836.72
Episode 227     Average Score: -22839.15
Episode 228     Average Score: -22838.88
Episode 229     Average Score: -22841.06
Episode 230     Average Score: -22842.63
Episode 231     Average Score: -22843.08
Episode 232     Average Score: -22841.32
Episode 233     Average Score: -15310.15
Episode 234     Average Score: -6707.94
Episode 235     Average Score: 30.67
Episode 236     Average Score: 31.36
Episode 237     Average Score: 31.70
Episode 238     Average Score: 31.55
Episode 239     Average Score: 31.75
Episode 240     Average Score: 23.23
Episode 241     Average Score: 24.47
Episode 242     Average Score: 22.20
Episode 243     Average Score: 4.72
Episode 244     Average Score: 5.04
Episode 245     Average Score: 3.89
Episode 246     Average Score: 2.81
Episode 247     Average Score: 3.89
Episode 248     Average Score: 3.57
Episode 249     Average Score: -1.63
Episode 250     Average Score: 8.48
Episode 251     Average Score: 8.28
Episode 252     Average Score: -2.58
Episode 253     Average Score: 15.36
Episode 254     Average Score: 15.96
Episode 255     Average Score: 17.27
Episode 256     Average Score: 17.64
Episode 257     Average Score: 17.67
Episode 258     Average Score: 16.69
Episode 259     Average Score: 10.44
Episode 260     Average Score: 10.71
Episode 261     Average Score: 11.23
Episode 262     Average Score: 1.47
Episode 263     Average Score: 1.82
Episode 264     Average Score: 0.36
